time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-06 00:00:00+00:00,0,0,2,1
2023-06-07 00:00:00+00:00,1,1,18,4
2023-06-09 00:00:00+00:00,0,0,8,1
2023-06-13 00:00:00+00:00,0,0,1,1
2023-06-16 00:00:00+00:00,4,3,16,1
2023-06-19 00:00:00+00:00,6,5,164,2
2023-06-20 00:00:00+00:00,1,1,20,1
2023-06-21 00:00:00+00:00,3,2,12,1
2023-06-22 00:00:00+00:00,3,2,13,1
2023-06-23 00:00:00+00:00,2,2,10,2
2023-06-24 00:00:00+00:00,1,1,1,1
2023-06-25 00:00:00+00:00,1,1,0,0
2023-06-26 00:00:00+00:00,2,2,0,0
2023-06-27 00:00:00+00:00,1,1,2,2
2023-06-28 00:00:00+00:00,1,1,2,1
